#time[sec] output_ch0 output_ch1
3.109999999999999870e-06 4.692136935324320302e-02 3.726108742757548720e-02
3.120000000000000198e-06 2.346068467662160151e-02 2.898084577700315093e-02
3.130000000000000102e-06 2.070060412643082506e-02 8.280241650572329332e-03
3.140000000000000006e-06 2.346068467662160151e-02 -5.520161100381552888e-03
3.149999999999999910e-06 1.242036247585849573e-02 0.000000000000000000e+00
3.160000000000000238e-06 2.760080550190776444e-03 1.104032220076310578e-02
3.170000000000000142e-06 1.932056385133543511e-02 2.898084577700315093e-02
3.180000000000000047e-06 6.072177210419708177e-02 5.796169155400630185e-02
3.189999999999999951e-06 6.486189292948325857e-02 5.244153045362475590e-02
3.199999999999999855e-06 5.796169155400630185e-02 6.072177210419708177e-02
3.210000000000000183e-06 4.692136935324320302e-02 6.762197347967402461e-02
3.220000000000000087e-06 2.760080550190776791e-02 5.796169155400630185e-02
3.229999999999999991e-06 1.242036247585849573e-02 3.864112770267087021e-02
3.239999999999999896e-06 -6.900201375476941977e-03 2.208064440152621155e-02
3.250000000000000224e-06 -2.898084577700315093e-02 2.760080550190776444e-03
3.260000000000000128e-06 -4.002116797776626017e-02 -2.760080550190776444e-03
3.270000000000000032e-06 -3.864112770267087021e-02 -6.900201375476941977e-03
3.279999999999999936e-06 -2.484072495171699146e-02 -9.660281925667717554e-03
3.290000000000000264e-06 -9.660281925667717554e-03 -5.520161100381552888e-03
3.300000000000000168e-06 -4.140120825286164666e-03 2.760080550190776444e-03
3.310000000000000073e-06 -2.622076522681237795e-02 -2.346068467662160151e-02
3.319999999999999977e-06 -1.242036247585849573e-02 -1.932056385133543511e-02
3.329999999999999881e-06 4.140120825286164666e-03 -1.380040275095388395e-02
3.340000000000000209e-06 6.900201375476941977e-03 -1.242036247585849573e-02
3.350000000000000113e-06 1.380040275095388395e-02 -2.760080550190776444e-03
3.360000000000000017e-06 1.794052357624004862e-02 5.520161100381552888e-03
3.369999999999999922e-06 3.036088605209854088e-02 1.656048330114465866e-02
3.380000000000000249e-06 4.278124852795703315e-02 2.898084577700315093e-02
3.390000000000000154e-06 4.140120825286165013e-02 3.312096660228931733e-02
3.400000000000000058e-06 3.312096660228931733e-02 3.864112770267087021e-02
3.409999999999999962e-06 2.346068467662160151e-02 3.036088605209854088e-02
3.419999999999999866e-06 1.242036247585849573e-02 2.484072495171699146e-02
3.430000000000000194e-06 5.520161100381552888e-03 1.380040275095388395e-02
3.440000000000000098e-06 2.760080550190776444e-03 1.242036247585849573e-02
3.450000000000000003e-06 -2.760080550190776444e-03 9.660281925667717554e-03
3.459999999999999907e-06 -6.900201375476941977e-03 8.280241650572329332e-03
3.470000000000000235e-06 0.000000000000000000e+00 8.280241650572329332e-03
3.480000000000000139e-06 9.660281925667717554e-03 1.242036247585849573e-02
3.490000000000000043e-06 1.104032220076310578e-02 1.656048330114465866e-02
3.499999999999999947e-06 1.656048330114465866e-02 1.932056385133543511e-02
3.510000000000000275e-06 1.656048330114465866e-02 2.484072495171699146e-02
3.520000000000000180e-06 1.656048330114465866e-02 1.932056385133543511e-02
3.530000000000000084e-06 1.932056385133543511e-02 2.208064440152621155e-02
3.539999999999999988e-06 1.656048330114465866e-02 2.208064440152621155e-02
3.549999999999999892e-06 9.660281925667717554e-03 1.794052357624004862e-02
3.560000000000000220e-06 5.520161100381552888e-03 1.932056385133543511e-02
3.570000000000000124e-06 2.760080550190776444e-03 1.794052357624004862e-02
3.580000000000000029e-06 1.380040275095388222e-03 1.380040275095388395e-02
3.589999999999999933e-06 0.000000000000000000e+00 1.380040275095388395e-02
3.600000000000000261e-06 2.760080550190776444e-03 1.380040275095388395e-02
3.610000000000000165e-06 -1.656048330114465866e-02 -4.140120825286164666e-03
3.620000000000000069e-06 -3.864112770267087021e-02 -3.312096660228931733e-02
3.629999999999999973e-06 -2.622076522681237795e-02 -2.898084577700315093e-02
3.639999999999999878e-06 -1.794052357624004862e-02 -3.036088605209854088e-02
3.650000000000000205e-06 -8.280241650572329332e-03 -1.794052357624004862e-02
3.660000000000000110e-06 8.280241650572329332e-03 -2.760080550190776444e-03
3.670000000000000014e-06 2.070060412643082506e-02 6.900201375476941977e-03
3.679999999999999918e-06 4.002116797776626017e-02 1.932056385133543511e-02
3.690000000000000246e-06 5.106149017852936595e-02 3.174092632719393431e-02
3.700000000000000150e-06 5.106149017852936595e-02 4.278124852795703315e-02
3.710000000000000054e-06 5.934173182910169181e-02 5.796169155400630185e-02
3.719999999999999959e-06 7.314213458005558444e-02 8.418245678081867633e-02
3.730000000000000286e-06 4.968144990343398293e-02 6.900201375476941457e-02
3.740000000000000191e-06 3.312096660228931733e-02 6.072177210419708177e-02
3.750000000000000095e-06 1.380040275095388395e-02 5.106149017852936595e-02
3.759999999999999999e-06 -1.104032220076310578e-02 3.036088605209854088e-02
3.769999999999999904e-06 -2.898084577700315093e-02 1.656048330114465866e-02
3.780000000000000231e-06 -3.726108742757548720e-02 5.520161100381552888e-03
3.790000000000000136e-06 -4.278124852795703315e-02 -6.900201375476941977e-03
3.800000000000000040e-06 -3.450100687738470728e-02 -9.660281925667717554e-03
3.809999999999999944e-06 -2.208064440152621155e-02 -6.900201375476941977e-03
3.819999999999999848e-06 -6.900201375476941977e-03 1.380040275095388222e-03
