#time[sec] output_ch0 output_ch1
2.330000000000000138e-06 8.045634803806113178e-01 3.877913173018041060e-01
2.340000000000000042e-06 8.073235609308021532e-01 3.988316395025672256e-01
2.349999999999999947e-06 8.197439234066605795e-01 4.071118811531395099e-01
2.359999999999999851e-06 8.211239636817559973e-01 4.167721630788072673e-01
2.370000000000000179e-06 8.376844469829006767e-01 4.278124852795703870e-01
2.380000000000000083e-06 8.445846483583776543e-01 4.402328477554288688e-01
2.389999999999999987e-06 8.639052122097130582e-01 4.498931296810965708e-01
2.399999999999999891e-06 8.611451316595223338e-01 4.554132907814781861e-01
2.410000000000000219e-06 8.859858566112391864e-01 4.623134921569551081e-01
2.420000000000000123e-06 8.873658968863347152e-01 4.719737740826227546e-01
2.430000000000000028e-06 8.901259774365254396e-01 4.857741768335766541e-01
2.439999999999999932e-06 9.260070245890055229e-01 4.981945393094351360e-01
2.450000000000000260e-06 8.984062190870978348e-01 5.037147004098166958e-01
2.460000000000000164e-06 9.301471454142917761e-01 5.161350628856752332e-01
2.470000000000000068e-06 9.881088369682979877e-01 5.216552239860567930e-01
2.479999999999999972e-06 6.085977613170662215e-01 5.395957475622968902e-01
2.489999999999999877e-06 1.462842691601111689e-01 5.630564322389184362e-01
2.500000000000000205e-06 8.418245678081867633e-02 5.727167141645861381e-01
2.510000000000000109e-06 9.798285953177257590e-02 5.740967544396815558e-01
2.520000000000000013e-06 4.416128880305242310e-02 5.934173182910169597e-01
2.529999999999999917e-06 7.176209430496019448e-02 6.058376807668754971e-01
2.540000000000000245e-06 7.590221513024635047e-02 6.099778015921616392e-01
2.550000000000000149e-06 6.072177210419708177e-02 6.141179224174477813e-01
2.560000000000000054e-06 8.142237623062791030e-02 6.306784057185924608e-01
2.569999999999999958e-06 8.970261788120023616e-02 6.375786070940694383e-01
2.579999999999999862e-06 9.660281925667718594e-02 6.527590501201185891e-01
2.590000000000000190e-06 1.076431414574402917e-01 6.582792112205001489e-01
2.600000000000000094e-06 1.145433428329172415e-01 6.720796139714541040e-01
2.609999999999999998e-06 1.255836650336803473e-01 6.803598556220263882e-01
2.619999999999999903e-06 1.283437455838711272e-01 6.955402986480756500e-01
2.630000000000000230e-06 1.476643094352065588e-01 7.024405000235527385e-01
2.640000000000000135e-06 1.421441483348249990e-01 7.176209430496018893e-01
2.650000000000000039e-06 1.669848732865419905e-01 7.355614666258419865e-01
2.659999999999999943e-06 1.752651149371143025e-01 7.328013860756511511e-01
2.669999999999999847e-06 1.807852760374958623e-01 7.452217485515095774e-01
2.680000000000000175e-06 1.932056385133543719e-01 7.548820304771773904e-01
2.690000000000000079e-06 2.042459607141174638e-01 7.617822318526543679e-01
2.699999999999999984e-06 2.139062426397851935e-01 7.755826346036082120e-01
2.709999999999999888e-06 2.194264037401667533e-01 7.783427151537990474e-01
2.720000000000000216e-06 2.318467662160252074e-01 7.893830373545621670e-01
2.730000000000000120e-06 2.415070481416929371e-01 7.990433192802297580e-01
2.740000000000000024e-06 2.525473703424560568e-01 8.073235609308021532e-01
2.749999999999999928e-06 2.594475717179330343e-01 8.156038025813744374e-01
2.760000000000000256e-06 2.704878939186960984e-01 8.266441247821375571e-01
2.770000000000000161e-06 2.801481758443638004e-01 8.376844469829006767e-01
2.780000000000000065e-06 2.884284174949361401e-01 8.487247691836637964e-01
2.789999999999999969e-06 2.939485785953176999e-01 8.570050108342360806e-01
2.799999999999999873e-06 3.063689410711761818e-01 8.846058163361438798e-01
2.810000000000000201e-06 3.146491827217485215e-01 8.694253733100946180e-01
2.820000000000000105e-06 3.298296257477978388e-01 8.915060177116207463e-01
2.830000000000000010e-06 3.353497868481793986e-01 9.191068232135286564e-01
2.839999999999999914e-06 3.519102701493240226e-01 8.694253733100946180e-01
2.850000000000000242e-06 3.601905117998963624e-01 9.618880717414854953e-01
2.860000000000000146e-06 3.560503909746101647e-01 9.080665010127654257e-01
2.870000000000000050e-06 3.629505923500871423e-01 3.146491827217485215e-01
2.879999999999999954e-06 3.905513978519948859e-01 -5.520161100381553582e-02
2.889999999999999859e-06 3.933114784021856658e-01 3.864112770267087021e-02
2.900000000000000186e-06 3.988316395025672256e-01 1.794052357624004862e-02
2.910000000000000091e-06 4.195322436289980472e-01 -1.518044302604927044e-02
2.919999999999999995e-06 4.250524047293796071e-01 2.208064440152621155e-02
2.929999999999999899e-06 4.360927269301427267e-01 0.000000000000000000e+00
2.940000000000000227e-06 4.443729685807150109e-01 5.520161100381552888e-03
2.950000000000000131e-06 4.540332505063827129e-01 9.660281925667717554e-03
2.960000000000000035e-06 4.664536129822411947e-01 4.140120825286164666e-03
2.969999999999999940e-06 4.774939351830043144e-01 8.280241650572329332e-03
2.980000000000000267e-06 4.843941365584813474e-01 4.140120825286164666e-03
2.990000000000000172e-06 4.940544184841489939e-01 5.520161100381552888e-03
3.000000000000000076e-06 5.037147004098166958e-01 6.900201375476941977e-03
3.009999999999999980e-06 5.161350628856752332e-01 5.520161100381552888e-03
3.019999999999999885e-06 5.230352642611520997e-01 0.000000000000000000e+00
3.030000000000000212e-06 5.313155059117244949e-01 -5.520161100381552888e-03
3.040000000000000117e-06 5.437358683875829213e-01 2.760080550190776444e-03
3.050000000000000021e-06 5.547761905883460409e-01 0.000000000000000000e+00
3.059999999999999925e-06 5.671965530642045783e-01 -2.760080550190776444e-03
3.070000000000000253e-06 5.796169155400631157e-01 0.000000000000000000e+00
3.080000000000000157e-06 5.865171169155399822e-01 -2.760080550190776444e-03
3.090000000000000061e-06 5.961773988412077951e-01 -6.900201375476941977e-03
3.099999999999999966e-06 6.058376807668754971e-01 -2.760080550190776444e-03
3.109999999999999870e-06 6.154979626925431990e-01 -4.140120825286164666e-03
3.120000000000000198e-06 6.292983654434970431e-01 -4.140120825286164666e-03
3.130000000000000102e-06 6.348185265438786029e-01 -2.760080550190776444e-03
3.140000000000000006e-06 6.513790098450232824e-01 -4.140120825286164666e-03
3.149999999999999910e-06 6.582792112205001489e-01 -6.900201375476941977e-03
